Event,B/S,Symbol,Shares,Price,Route,Time,Account,Note,
Execute,Sell,ASNS,25,0.635,ARCA,07:28:31,18337,,
Accept,Sell,ASNS,25,0.535,ARCA,07:28:31,18337,,
Sending,Sell,ASNS,25,0.535,ARCA,07:28:31,18337,,
Accept,Sell,ASNS,25,0.535,SMAT,07:28:31,18337,,
Sending,Sell,ASNS,25,0.535,SMAT,07:28:31,18337,,
Execute,Buy,ASNS,25,0.6259,ARCA,07:28:21,18337,,
Accept,Buy,ASNS,25,0.6328,ARCA,07:28:21,18337,,
Sending,Buy,ASNS,25,0.6328,ARCA,07:28:21,18337,,
Accept,Buy,ASNS,25,0.6328,SMAT,07:28:21,18337,,
Sending,Buy,ASNS,25,0.6328,SMAT,07:28:21,18337,,
Canceled,Buy,ASNS,10,0.624,ARCA,07:27:50,18337,ARCA: R099: UROUT,
Canceling,Buy,ASNS,10,0.624,ARCA,07:27:50,18337,,
Accept,Buy,ASNS,10,0.624,ARCA,07:27:46,18337,,
Sending,Buy,ASNS,10,0.624,ARCA,07:27:46,18337,,
Accept,Buy,ASNS,10,0.624,SMAT,07:27:46,18337,,
Sending,Buy,ASNS,10,0.624,SMAT,07:27:46,18337,,
Canceled,Buy,ASNS,25,0.6319,ARCA,07:24:40,18337,ARCA: R099: UROUT,
Canceling,Buy,ASNS,25,0.6319,ARCA,07:24:40,18337,,
Accept,Buy,ASNS,25,0.6319,ARCA,07:24:35,18337,,
Sending,Buy,ASNS,25,0.6319,ARCA,07:24:35,18337,,
Accept,Buy,ASNS,25,0.6319,SMAT,07:24:35,18337,,
Sending,Buy,ASNS,25,0.6319,SMAT,07:24:35,18337,,
Execute,Sell,ASNS,25,0.6333,ARCA,07:23:42,18337,,
Accept,Sell,ASNS,25,0.5333,ARCA,07:23:42,18337,,
Sending,Sell,ASNS,25,0.5333,ARCA,07:23:42,18337,,
Accept,Sell,ASNS,25,0.5333,SMAT,07:23:42,18337,,
Sending,Sell,ASNS,25,0.5333,SMAT,07:23:42,18337,,
Execute,Buy,ASNS,25,0.624,ARCA,07:19:24,18337,,
Accept,Buy,ASNS,25,0.624,ARCA,07:19:22,18337,,
Sending,Buy,ASNS,25,0.624,ARCA,07:19:22,18337,,
Accept,Buy,ASNS,25,0.624,SMAT,07:19:22,18337,,
Sending,Buy,ASNS,25,0.624,SMAT,07:19:22,18337,,
Execute,Sell,OVID,25,2.3,ARCA,07:10:23,18337,,
Accept,Sell,OVID,25,2.2,ARCA,07:10:23,18337,,
Sending,Sell,OVID,25,2.2,ARCA,07:10:23,18337,,
Accept,Sell,OVID,25,2.2,SMAT,07:10:23,18337,,
Sending,Sell,OVID,25,2.2,SMAT,07:10:23,18337,,
Execute,Buy,OVID,25,2.23,ARCA,07:09:25,18337,,
Accept,Buy,OVID,25,2.23,ARCA,07:09:23,18337,,
Sending,Buy,OVID,25,2.23,ARCA,07:09:23,18337,,
Accept,Buy,OVID,25,2.23,SMAT,07:09:23,18337,,
Sending,Buy,OVID,25,2.23,SMAT,07:09:23,18337,,
Execute,Sell,ASNS,25,0.582,ARCA,06:51:02,18337,,
Accept,Sell,ASNS,25,0.482,ARCA,06:51:02,18337,,
Sending,Sell,ASNS,25,0.482,ARCA,06:51:02,18337,,
Accept,Sell,ASNS,25,0.482,SMAT,06:51:02,18337,,
Sending,Sell,ASNS,25,0.482,SMAT,06:51:02,18337,,
Execute,Buy,ASNS,25,0.5985,ARCA,06:50:48,18337,,
Accept,Buy,ASNS,25,0.6,ARCA,06:50:48,18337,,
Sending,Buy,ASNS,25,0.6,ARCA,06:50:48,18337,,
Accept,Buy,ASNS,25,0.6,SMAT,06:50:48,18337,,
Sending,Buy,ASNS,25,0.6,SMAT,06:50:48,18337,,
Canceled,Buy,XELB,25,2.67,ARCA,17:15:31,18337,ARCA: R099: UROUT,
Canceling,Buy,XELB,25,2.67,ARCA,17:15:31,18337,,
Accept,Buy,XELB,25,2.67,ARCA,17:15:23,18337,,
Sending,Buy,XELB,25,2.67,ARCA,17:15:23,18337,,
Accept,Buy,XELB,25,2.67,SMAT,17:15:23,18337,,
Sending,Buy,XELB,25,2.67,SMAT,17:15:23,18337,,
Execute,Sell,XELB,10,2.63,ARCA,17:14:36,18337,,
Accept,Sell,XELB,10,2.53,ARCA,17:14:36,18337,,
Sending,Sell,XELB,10,2.53,ARCA,17:14:36,18337,,
Accept,Sell,XELB,10,2.53,SMAT,17:14:36,18337,,
Sending,Sell,XELB,10,2.53,SMAT,17:14:36,18337,,
Execute,Buy,XELB,10,2.62,ARCA,17:14:34,18337,,
Accept,Buy,XELB,10,2.62,ARCA,17:14:33,18337,,
Sending,Buy,XELB,10,2.62,ARCA,17:14:33,18337,,
Accept,Buy,XELB,10,2.62,SMAT,17:14:33,18337,,
Sending,Buy,XELB,10,2.62,SMAT,17:14:33,18337,,
Execute,Sell,XELB,10,2.59,ARCA,17:14:30,18337,,
Accept,Sell,XELB,10,2.48,ARCA,17:14:30,18337,,
Sending,Sell,XELB,10,2.48,ARCA,17:14:30,18337,,
Accept,Sell,XELB,10,2.48,SMAT,17:14:30,18337,,
Sending,Sell,XELB,10,2.48,SMAT,17:14:30,18337,,
Execute,Buy,XELB,10,2.54,ARCA,17:14:28,18337,,
Accept,Buy,XELB,10,2.54,ARCA,17:14:27,18337,,
Sending,Buy,XELB,10,2.54,ARCA,17:14:27,18337,,
Accept,Buy,XELB,10,2.54,SMAT,17:14:27,18337,,
Sending,Buy,XELB,10,2.54,SMAT,17:14:27,18337,,
Canceled,Buy,XELB,10,2.47,ARCA,17:14:26,18337,ARCA: R099: UROUT,
Canceling,Buy,XELB,10,2.47,ARCA,17:14:26,18337,,
Accept,Buy,XELB,10,2.47,ARCA,17:14:22,18337,,
Sending,Buy,XELB,10,2.47,ARCA,17:14:22,18337,,
Accept,Buy,XELB,10,2.47,SMAT,17:14:22,18337,,
Sending,Buy,XELB,10,2.47,SMAT,17:14:22,18337,,
Execute,Sell,XELB,10,2.28,ARCA,17:12:43,18337,,
Accept,Sell,XELB,10,2.17,ARCA,17:12:43,18337,,
Sending,Sell,XELB,10,2.17,ARCA,17:12:43,18337,,
Accept,Sell,XELB,10,2.17,SMAT,17:12:43,18337,,
